latitud,longitud,altura,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi
-25.0,-63.0,225.0,14.75,0.684,16.1,8.825,1.35,6.0366,105.9,28.8031,0.1806,68.3705,56.7342,39.5674,10.2464,680.81,1.9455,0.1318,5.2417,4.5044,3.2962,0.5936,54.0533,174.7525,0.896,180.7202,65.3764,5.9677,58.5755,784.5172,11.8977,0.1909,28.8857,23.924,16.988,4.5665,287.0884,11.0857,0.1349,36.1731,31.4883,25.0874,4.2468,377.8595,12.4181,0.2692,22.4112,17.196,9.9931,4.6296,206.3525,13.556,10.444,1.5502,48.4498,201.4086
-25.0,-62.0,170.0,9.95,0.5422,11.7,7.3125,1.75,3.9646,87.75,25.353,0.1488,67.8472,56.5349,42.4942,8.4112,678.4192,1.6857,0.1176,5.223,4.4657,3.5373,0.5251,53.588,125.4048,0.6725,136.263,70.3755,10.8582,47.324,844.5054,12.0745,0.186,29.7326,24.4627,17.6581,4.5491,293.5529,11.1304,0.1351,36.4553,31.7521,25.3249,4.2889,381.0257,12.4853,0.2548,23.4476,17.9623,10.9623,4.5773,215.5479,13.556,10.444,1.5502,48.4498,201.8063
-25.0,-59.0,79.0,8.6,0.3021,13.1,9.4083,4.5,2.8423,112.9,18.4816,0.0855,80.0489,69.6326,61.5673,5.9538,835.5914,1.1356,0.0777,5.1739,4.5462,4.0383,0.3533,54.5541,143.8734,0.4597,171.4864,111.3076,27.613,51.1675,1335.6908,12.1298,0.192,28.6725,23.2888,16.5427,4.4722,279.4661,11.2962,0.1425,34.829,30.0228,23.5328,4.2777,360.2733,12.0809,0.2545,22.918,17.4013,10.8371,4.4291,208.8154,13.556,10.444,1.5502,48.4498,202.3313
-48.0,-68.0,246.0,1.9,0.1458,5.55,4.5958,3.65,0.67,55.15,41.3013,0.259,80.3153,57.9085,39.014,14.9982,694.9018,0.5485,0.0387,4.7752,4.4765,4.2267,0.1731,53.7178,13.4699,0.1979,28.0536,20.408,14.5837,4.0391,244.8965,16.3777,0.6158,17.5695,9.6719,1.1918,5.9563,116.0631,18.6765,0.4234,24.7426,16.0026,6.0661,6.7748,192.0311,12.3122,1.1161,10.138,3.9961,-2.1742,4.46,47.9536,15.84,8.16,24.5502,71.4498,174.1619
-24.0,-67.0,3965.0,15.3,0.9042,15.8,6.6833,0.5,6.043,80.2,32.2887,0.304,58.1099,38.2664,25.8212,11.633,459.1971,2.0921,0.3407,3.4939,2.0329,1.4018,0.6927,24.3945,138.5892,1.0726,140.5103,51.3717,1.9211,55.0991,616.4606,9.2829,0.9788,8.0247,3.5258,-1.2582,3.451,42.3097,10.9382,0.3083,18.2246,13.1267,7.2864,4.0464,157.5207,6.6912,-0.5552,-0.3548,-3.9556,-7.046,2.1961,-47.4667,13.4847,10.5153,0.5502,47.4498,287.3267
-24.0,-63.0,245.0,13.7,0.7024,14.8,8.1125,1.1,5.6986,97.35,30.5819,0.1942,69.2017,57.1283,38.6198,11.0961,685.54,1.9396,0.127,5.3139,4.6271,3.3743,0.5874,55.5256,197.2327,0.9556,201.3696,68.612,4.1369,65.5661,823.3436,11.3696,0.179,29.1924,24.5506,17.8228,4.3947,294.6071,10.8938,0.128,36.8559,32.1293,25.9621,4.1118,385.5515,11.921,0.2511,22.6912,17.8666,10.7702,4.486,214.3987,13.4847,10.5153,0.5502,47.4498,201.1058
-24.0,-62.0,176.0,12.05,0.6042,13.5,7.75,1.45,4.6825,93.0,25.2083,0.1579,65.2072,54.8844,39.9989,8.6663,658.6128,1.8587,0.1108,5.2859,4.4428,3.4272,0.4923,53.3138,152.7053,0.7699,160.0121,66.6251,7.3068,51.2929,799.5013,11.0551,0.1669,29.9962,25.2697,18.9411,4.218,303.2359,10.1173,0.1211,36.5987,32.4269,26.4814,3.9268,389.1228,11.5913,0.2284,23.7861,18.8255,12.1948,4.2995,225.9058,13.4847,10.5153,0.5502,47.4498,203.6709
-23.0,-62.0,188.0,11.9,0.6211,12.95,7.5125,1.05,4.6661,90.15,24.7204,0.1674,63.1464,53.649,38.426,8.9803,643.788,1.8439,0.1151,5.3877,4.6594,3.5438,0.5361,55.9125,146.5807,0.8175,151.0858,60.2663,4.5051,49.2676,723.1953,10.017,0.1507,30.0655,25.888,20.0485,3.9006,310.656,9.4762,0.1088,37.0035,33.0099,27.5273,3.5923,396.1192,10.6636,0.2071,23.8992,19.4633,13.2356,4.0308,233.5591,13.4147,10.5853,0.4498,46.4498,201.4515
-48.0,-67.0,0.0,1.9,0.1289,5.2,4.35,3.3,0.5608,52.2,43.6129,0.263,83.3411,60.2654,39.7282,15.8478,723.1846,0.5485,0.0387,4.7752,4.4765,4.2267,0.1731,53.7178,17.7536,0.2579,31.5557,19.804,13.8021,5.1071,237.6481,16.4068,0.6114,17.8243,9.7838,1.4175,5.9816,117.4051,18.7457,0.4308,24.7172,15.8239,5.9715,6.8174,189.8863,12.4726,1.0334,10.7459,4.4126,-1.7267,4.5602,52.951,15.84,8.16,24.5502,71.4498,174.1619
-47.0,-70.0,718.0,4.7,0.3994,6.8,4.3292,2.1,1.729,51.95,39.6932,0.2204,88.3422,67.5744,48.649,14.8956,810.8932,0.6232,0.0534,4.5962,4.3638,3.973,0.2331,52.366,20.1336,0.3445,28.4377,18.2279,8.3041,6.2793,218.7349,15.3565,0.9098,13.608,6.1709,-1.7485,5.614,74.0504,18.411,0.5521,20.914,12.2547,2.503,6.7654,147.0569,10.9999,5.5597,6.096,0.704,-4.9039,3.9142,8.4484,15.6961,8.3039,23.5502,70.4498,180.6766
-47.0,-69.0,564.0,3.55,0.3112,5.95,4.1917,2.4,1.3045,50.3,43.4704,0.2622,83.9755,61.302,40.5051,16.076,735.6234,0.6232,0.0534,4.5962,4.3638,3.973,0.2331,52.366,18.3538,0.3043,26.603,18.0681,8.2492,5.4974,216.8169,16.6453,0.7067,16.7211,8.5697,0.0758,6.0566,102.8366,19.3006,0.4708,24.093,14.9124,4.7924,7.0213,178.9491,12.0982,1.5005,9.036,2.9152,-3.0622,4.3741,34.9819,15.6961,8.3039,23.5502,70.4498,180.6766
-47.0,-68.0,100.0,3.25,0.2739,5.9,4.0833,2.65,1.1183,49.0,43.3147,0.2682,82.1306,59.2442,38.8159,15.8899,710.9308,0.7509,0.0587,4.8293,4.5271,4.0784,0.2659,54.3252,19.6935,0.2943,29.0224,19.2953,9.3289,5.6791,231.544,16.9871,0.6381,17.9554,9.654,0.9683,6.16,115.848,19.3337,0.4338,25.3345,16.1424,6.0008,7.0032,193.709,12.6685,1.1872,10.3151,3.8672,-2.3534,4.591,46.4064,15.6961,8.3039,23.5502,70.4498,175.9414
-47.0,-67.0,125.0,2.55,0.2131,5.65,4.2583,3.1,0.9073,51.1,36.7943,0.21,83.1921,63.8083,46.3978,13.4016,765.6991,0.7509,0.0587,4.8293,4.5271,4.0784,0.2659,54.3252,25.2813,0.3606,37.1407,22.8884,11.8594,8.253,274.6605,14.8243,0.5171,17.6833,10.3578,2.859,5.3558,124.2933,16.587,0.3887,23.4708,15.4165,6.8838,5.9919,184.9985,11.9261,0.7539,11.7896,5.7558,-0.1365,4.339,69.0694,15.6961,8.3039,23.5502,70.4498,175.9414
-46.0,-70.0,766.0,5.85,0.3661,9.2,5.7875,3.35,2.119,69.45,37.4511,0.2093,87.1475,67.3342,49.6964,14.0951,808.0104,0.9734,0.079,4.683,4.3324,3.7096,0.3422,51.9892,28.6419,0.403,40.5455,23.6401,11.9036,9.5265,283.6809,15.0572,0.7061,15.0693,7.7885,0.0121,5.4992,93.4614,17.9691,0.4711,22.4435,13.9582,4.4744,6.5762,167.4984,10.785,1.6511,7.7285,2.3533,-3.0565,3.8855,28.2401,15.5588,8.4412,22.5502,69.4498,184.1779
-46.0,-69.0,369.0,4.25,0.3676,5.9,3.9208,1.65,1.4413,47.05,41.2399,0.2431,85.1775,63.2058,43.9376,15.3625,758.4701,0.9734,0.079,4.683,4.3324,3.7096,0.3422,51.9892,23.101,0.377,31.9347,20.2298,8.8337,7.6263,242.7572,16.204,0.6658,16.7075,8.8432,0.5035,5.8879,106.1185,18.8611,0.4547,24.0535,15.1056,5.1924,6.8688,181.2668,11.8554,1.3292,9.1523,3.2299,-2.7031,4.2933,38.7591,15.5588,8.4412,22.5502,69.4498,184.1779
-45.0,-71.0,893.0,7.5,0.2096,15.35,11.8,7.85,2.4731,141.6,20.102,0.0937,92.9967,82.1243,72.8947,7.6929,985.4911,1.3574,0.1171,4.7238,4.1951,3.3664,0.4912,50.3406,64.9743,0.3135,109.8555,65.2473,44.8812,20.4571,782.9678,11.8639,0.9604,10.2299,4.3684,-1.634,4.1953,52.4212,15.01,0.5945,16.3927,9.0291,1.3827,5.3677,108.3495,8.9974,10.5225,4.6136,0.2891,-4.3838,3.0424,3.4696,15.4276,8.5724,21.5502,68.4498,189.5032
-51.0,-71.0,230.0,3.35,0.131,9.3,7.9,5.95,1.0351,94.8,26.1253,0.1353,89.012,74.5605,62.8867,10.0872,894.7266,0.6629,0.0391,5.497,5.0896,4.8341,0.1988,61.0753,13.2799,0.134,37.1527,31.3752,23.8728,4.2056,376.5023,11.4657,0.833,10.4196,5.0955,-1.0461,4.2446,61.1456,13.9784,0.5203,16.0984,9.8942,2.12,5.1479,118.7305,8.2521,3.7566,4.6626,0.8014,-3.5895,3.0106,9.6171,16.3185,7.6815,27.5502,74.4498,155.9089
-45.0,-70.0,607.0,7.5,0.2879,13.05,8.6708,5.55,2.4966,104.05,33.5184,0.1752,89.1163,71.5997,55.5979,12.5414,859.1966,1.1244,0.0947,4.7222,4.31,3.5978,0.4082,51.7198,48.0232,0.3747,72.7315,40.5397,24.7083,15.1908,486.4762,14.5845,0.7014,14.6653,7.5181,0.0808,5.2732,90.2168,17.9047,0.47,22.3461,13.7368,4.4414,6.4561,164.8412,10.2525,1.7928,7.2032,2.0176,-3.0493,3.6172,24.2116,15.4276,8.5724,21.5502,68.4498,186.9358
-45.0,-69.0,383.0,4.2,0.3758,5.95,3.875,1.75,1.4561,46.5,38.2802,0.2249,83.985,63.5042,45.7048,14.2811,762.0498,1.0992,0.0941,4.6468,4.2363,3.5476,0.3987,50.8352,25.2923,0.3867,35.3537,21.9767,10.0614,8.4989,263.7202,15.9047,0.627,16.9674,9.2329,1.0627,5.7892,110.7943,18.3982,0.4303,24.39,15.6362,5.9918,6.7279,187.6349,11.7348,1.2292,9.3109,3.4579,-2.4239,4.2503,41.4943,15.4276,8.5724,21.5502,68.4498,187.1744
-45.0,-66.0,0.0,3.05,0.2759,5.2,3.6958,2.15,1.0197,44.35,29.1873,0.1699,77.8126,62.7979,48.6253,10.672,753.575,1.6292,0.1298,4.9029,4.1476,3.2737,0.5384,49.7709,25.2691,0.398,34.5906,21.2693,9.3215,8.4656,255.2317,13.4975,0.4034,18.8949,12.1492,5.3974,4.9014,145.7901,14.8439,0.3287,23.6942,16.3756,8.8503,5.3821,196.5071,11.2211,0.4942,14.0302,8.3107,2.8091,4.1075,99.7284,15.4276,8.5724,21.5502,68.4498,184.8025
-44.0,-71.0,782.0,9.4,0.2429,16.5,11.1917,7.1,2.7188,134.3,18.7261,0.0832,93.7954,83.5305,75.0693,6.9495,1002.3661,1.7162,0.1454,4.9387,4.2417,3.2225,0.6166,50.9002,88.4812,0.3399,140.8143,79.9438,52.3331,27.1729,959.3253,11.8144,0.8594,10.6581,4.8608,-1.1563,4.1772,58.3299,15.1522,0.554,16.9963,9.6936,1.8441,5.3702,116.3233,8.7909,4.283,4.9647,0.7009,-3.8262,3.0019,8.4106,15.3019,8.6981,20.5502,67.4498,191.311
-44.0,-70.0,551.0,8.1,0.3041,13.7,8.8208,5.6,2.6826,105.85,30.6688,0.1495,92.1987,76.3173,61.5299,11.4126,915.8073,1.4604,0.1271,4.7365,4.1901,3.2761,0.5326,50.2811,68.5621,0.4174,96.1815,51.1643,27.6194,21.3583,613.9718,13.8194,0.8585,12.6792,5.8061,-1.1402,4.9845,69.6728,17.9841,0.5679,20.2219,11.4401,2.2378,6.497,137.2808,9.5292,3.5565,5.6837,0.9334,-3.8455,3.3195,11.2003,15.3019,8.6981,20.5502,67.4498,192.3915
-44.0,-69.0,397.0,6.75,0.323,10.95,6.95,4.2,2.2449,83.4,39.5963,0.2312,84.6939,63.6465,45.0976,14.7135,763.7581,1.3758,0.1151,4.6869,4.1592,3.3111,0.4786,49.9107,40.3783,0.4354,55.6518,30.0806,15.2735,13.0985,360.9675,16.4077,0.6238,17.6013,9.56,1.1936,5.9634,114.7205,19.12,0.4295,25.3826,16.2224,6.2626,6.9675,194.6691,11.8234,1.1979,9.5572,3.5986,-2.2662,4.3109,43.1831,15.3019,8.6981,20.5502,67.4498,191.6648
-44.0,-68.0,461.0,4.35,0.3478,7.05,4.5708,2.7,1.5898,54.85,41.5523,0.2545,82.4033,60.2796,40.851,15.3434,723.355,1.5097,0.1253,4.5888,3.9994,3.0791,0.5011,47.9929,25.2928,0.4076,35.1105,20.9267,9.8177,8.5288,251.12,17.0847,0.5917,18.8596,10.4671,1.7749,6.1932,125.6055,19.3461,0.4085,26.5208,17.2162,7.1747,7.0333,206.5948,12.7674,1.0602,10.8322,4.3691,-1.9352,4.6322,52.4292,15.3019,8.6981,20.5502,67.4498,192.4785
-44.0,-67.0,503.0,2.65,0.2364,4.75,3.525,2.1,0.8333,42.3,42.8189,0.2744,79.743,57.3783,36.9241,15.7421,688.5399,1.4995,0.1259,4.4785,3.8787,2.979,0.4881,46.5441,21.5104,0.3846,30.3892,18.4721,8.8788,7.1036,221.6649,17.663,0.5578,20.2256,11.471,2.5626,6.3983,137.6516,19.4721,0.3903,27.6474,18.1965,8.1753,7.1028,218.3586,13.7758,0.9112,12.4762,5.4573,-1.2996,4.9729,65.488,15.3019,8.6981,20.5502,67.4498,191.7393
-44.0,-66.0,21.0,2.3,0.2251,4.45,3.3792,2.15,0.7608,40.55,42.1392,0.2692,79.2995,57.5137,37.1603,15.4843,690.1644,1.6988,0.1467,4.7034,3.8975,3.0046,0.5719,46.7705,24.4239,0.4234,33.844,19.1962,9.4201,8.1268,230.3542,17.4433,0.5496,20.1978,11.4981,2.7545,6.3191,137.9768,19.3522,0.3915,27.5495,18.0956,8.1973,7.0845,217.1475,13.4999,0.8665,12.5221,5.6228,-0.9778,4.8721,67.4738,15.3019,8.6981,20.5502,67.4498,190.5684
-43.0,-70.0,1094.0,8.5,0.3475,13.1,7.8375,4.6,2.7239,94.05,36.0247,0.1822,90.5981,72.4961,54.5734,13.2088,869.9531,1.9852,0.1766,4.8572,4.0218,2.872,0.7102,48.262,74.1862,0.4937,97.3829,49.4353,23.1967,24.4064,593.2241,15.1679,0.7611,14.7989,7.2118,-0.369,5.489,86.542,19.2253,0.5155,22.9033,13.4528,3.678,6.9349,161.4335,10.5351,2.1206,7.1713,1.7552,-3.3638,3.7222,21.0629,15.1813,8.8187,19.5502,66.4498,199.3429
-50.0,-71.0,236.0,3.25,0.1453,8.4,6.7083,5.15,0.9744,80.5,30.9873,0.1595,90.1577,73.1029,59.1704,11.6623,877.2347,0.7024,0.0382,5.2307,4.8568,4.5283,0.1855,58.2812,13.5452,0.1379,34.5315,26.8369,20.9863,3.7021,322.0426,12.9886,1.0851,10.3426,4.3623,-2.646,4.7334,52.3475,15.4978,0.6048,16.3039,9.3908,0.8061,5.6797,112.6901,9.9334,-18.1544,4.2823,-0.1929,-5.6511,3.5014,-2.3144,16.1504,7.8496,26.5502,73.4498,164.4846
-43.0,-69.0,443.0,7.95,0.3748,11.95,6.6667,4.0,2.4984,80.0,36.5784,0.2056,84.4278,65.3592,47.8494,13.4354,784.3105,1.8947,0.1584,4.9533,4.1498,3.0586,0.6575,49.7973,43.8662,0.456,58.3189,30.9959,14.4527,14.1347,371.9502,15.4401,0.6846,15.9202,8.1771,0.4801,5.5984,98.125,18.7943,0.4713,23.6549,14.4835,4.8606,6.8263,173.8026,10.7021,1.5045,8.0578,2.563,-2.6443,3.856,30.7555,15.1813,8.8187,19.5502,66.4498,197.3869
-43.0,-68.0,369.0,6.7,0.3685,10.1,5.6458,3.4,2.0804,67.75,35.2372,0.2167,77.9587,59.54,42.7215,12.9042,714.48,1.5814,0.1388,4.6933,4.0801,3.1119,0.5662,48.9607,30.095,0.418,41.1312,23.4604,11.0362,9.8057,281.525,15.618,0.6026,17.2578,9.3998,1.6398,5.6642,112.7975,18.6701,0.4296,24.9614,15.8048,6.2913,6.7895,189.6572,10.9622,1.0828,9.2821,3.681,-1.6801,3.9856,44.1721,15.1813,8.8187,19.5502,66.4498,194.455
-43.0,-67.0,274.0,2.1,0.2631,4.25,3.1083,2.15,0.8179,37.3,37.3902,0.2721,69.5933,50.0903,32.2031,13.6288,601.0832,1.7206,0.152,4.6636,3.9451,2.943,0.5998,47.3407,30.0489,0.4592,39.4901,18.4707,9.4412,8.4818,221.648,17.7173,0.4652,22.628,13.7566,4.9107,6.3989,165.0786,19.4433,0.3411,30.2777,20.7219,10.8344,7.0685,248.663,14.1577,0.6753,14.7347,7.5513,0.577,5.0991,90.6154,15.1813,8.8187,19.5502,66.4498,192.6667
-42.0,-70.0,1054.0,9.15,0.4471,13.15,7.3833,4.0,3.3013,88.6,36.6994,0.1916,88.4313,70.0286,51.7319,13.4172,840.3427,2.3811,0.2152,4.9928,3.9479,2.6117,0.8495,47.3745,70.6307,0.5671,89.0016,43.0151,18.3709,24.3944,516.1813,15.1847,0.7584,14.9472,7.2707,-0.2375,5.5141,87.2479,19.2807,0.5117,23.1415,13.655,3.8608,6.9868,163.8604,10.4943,2.2383,7.1407,1.6601,-3.3536,3.7158,19.9212,15.0653,8.9347,18.5502,65.4498,203.3287
-42.0,-68.0,630.0,2.9,0.3507,4.3,2.6917,1.4,0.9441,32.3,40.5258,0.2344,83.7531,63.4731,43.2273,14.8753,761.6772,1.8884,0.1791,4.6528,3.8723,2.7644,0.6935,46.4682,14.8112,0.2997,23.6914,16.1122,8.8802,4.8294,193.3468,16.357,0.8654,15.2592,6.8592,-1.0978,5.9362,82.3101,20.0598,0.541,23.3994,13.4866,3.3396,7.2964,161.8388,10.9779,4.0003,6.6999,0.9884,-4.278,3.9538,11.8606,15.0653,8.9347,18.5502,65.4498,202.7463
-42.0,-67.0,70.0,2.1,0.1584,4.65,3.5542,2.55,0.5631,42.65,38.5556,0.2659,72.4352,52.8144,33.8796,14.0441,633.7726,1.725,0.1677,4.5688,3.8367,2.8438,0.6435,46.0404,18.0303,0.3012,27.1209,17.3687,9.0906,5.2306,208.4247,17.5658,0.5692,20.1043,11.1329,2.5385,6.3365,133.5952,19.9248,0.3952,28.1805,18.2323,8.2557,7.2055,218.7879,13.064,0.9597,11.7442,4.9206,-1.3198,4.7223,59.0467,15.0653,8.9347,18.5502,65.4498,198.7932
-42.0,-66.0,163.0,2.05,0.1623,4.25,3.4583,2.2,0.5612,41.5,36.7788,0.2616,70.0771,51.3195,33.2983,13.4265,615.8344,1.967,0.1925,4.6584,3.7748,2.6914,0.7268,45.2976,23.4482,0.3375,33.0595,19.5261,9.6113,6.5906,234.3127,17.5124,0.5113,21.2696,12.3637,3.7572,6.3212,148.364,19.6614,0.3676,29.265,19.4071,9.6036,7.1334,232.8857,13.4316,0.7745,13.1919,6.2534,-0.2397,4.8436,75.041,15.0653,8.9347,18.5502,65.4498,197.8095
-41.0,-70.0,891.0,9.05,0.5173,12.0,6.3958,2.95,3.3086,76.75,38.3651,0.204,88.62,69.5699,50.2549,14.1921,834.839,2.4958,0.2478,4.7189,3.6865,2.2231,0.9137,44.2383,64.3282,0.5864,79.5527,38.0265,15.2245,22.3005,456.3177,15.8211,0.7819,15.4974,7.359,-0.3237,5.7541,88.3084,19.9425,0.518,23.9377,14.0044,3.9952,7.2546,168.0532,10.5825,2.4235,7.165,1.5629,-3.4175,3.7878,18.7549,14.9536,9.0464,17.5502,64.4498,209.2247
-41.0,-67.0,513.0,1.6,0.1657,4.15,3.3167,2.55,0.5495,39.8,40.0154,0.2818,72.3245,52.1837,32.3091,14.7055,626.2041,2.256,0.2194,4.6811,3.6479,2.4251,0.8003,43.7743,16.4389,0.2663,26.2527,18.6037,9.8138,4.9535,223.2447,18.3603,0.5653,21.1016,11.6916,2.7413,6.6097,140.299,20.6044,0.3948,29.1218,18.7749,8.5174,7.4122,225.2988,13.6883,0.9133,12.5454,5.4072,-1.1429,4.9382,64.8862,14.9536,9.0464,17.5502,64.4498,203.8971
-41.0,-66.0,429.0,1.85,0.1685,4.15,3.1417,2.3,0.5295,37.7,37.378,0.2765,68.8204,50.0514,31.4424,13.8392,600.6166,2.1025,0.211,4.6155,3.6642,2.513,0.7731,43.9703,20.0506,0.2879,30.8813,20.7668,10.8307,5.9785,249.2021,18.4898,0.4996,22.7673,13.3364,4.2775,6.663,160.0372,20.4488,0.3597,30.8194,20.5048,10.3706,7.3763,246.0576,14.2129,0.7327,14.3367,6.9936,0.1238,5.1245,83.9233,14.9536,9.0464,17.5502,64.4498,202.3301
-50.0,-70.0,233.0,2.25,0.1145,7.1,5.9458,4.85,0.6807,71.35,36.9115,0.2037,88.4337,68.1789,51.5222,13.886,818.1472,0.8471,0.0554,5.5514,5.0306,4.7043,0.2788,60.3675,16.7009,0.1627,37.2944,26.7372,20.5935,4.3506,320.846,14.2222,0.8351,12.9617,6.2657,-1.2605,5.2326,75.1883,17.0665,0.5298,19.4556,11.8684,2.3891,6.2873,142.4204,10.3215,3.107,6.1728,1.2052,-4.1487,3.7446,14.4622,16.1504,7.8496,26.5502,73.4498,159.5066
-41.0,-64.0,0.0,1.65,0.1321,4.75,4.1208,3.1,0.5442,49.45,27.7509,0.1709,74.2143,60.1843,46.4634,10.2863,722.2115,2.0021,0.1916,4.6284,3.7891,2.6263,0.7259,45.4688,22.3018,0.259,41.3332,28.7077,19.0314,7.4367,344.4924,14.9421,0.3736,22.0443,14.511,7.1022,5.4212,174.1321,16.6239,0.3066,27.9608,19.7073,11.3369,6.0422,236.4872,12.1797,0.4583,15.9371,9.697,3.7574,4.4437,116.3639,14.9536,9.0464,17.5502,64.4498,200.4409
