latitud,longitud,geometry
-80.0,-61.0,POINT (-61 -80)
-80.0,-60.5,POINT (-60.5 -80)
-80.0,-60.0,POINT (-60 -80)
-80.0,-51.5,POINT (-51.5 -80)
-80.0,-51.0,POINT (-51 -80)
-80.0,-50.5,POINT (-50.5 -80)
-80.0,-50.0,POINT (-50 -80)
-80.0,-49.5,POINT (-49.5 -80)
-80.0,-49.0,POINT (-49 -80)
-80.0,-48.5,POINT (-48.5 -80)
-80.0,-48.0,POINT (-48 -80)
-80.0,-47.5,POINT (-47.5 -80)
-80.0,-47.0,POINT (-47 -80)
-80.0,-46.5,POINT (-46.5 -80)
-80.0,-46.0,POINT (-46 -80)
-80.0,-45.5,POINT (-45.5 -80)
-80.0,-45.0,POINT (-45 -80)
-80.0,-44.5,POINT (-44.5 -80)
-80.0,-44.0,POINT (-44 -80)
-79.5,-71.5,POINT (-71.5 -79.5)
-79.5,-71.0,POINT (-71 -79.5)
-79.5,-70.5,POINT (-70.5 -79.5)
-79.5,-70.0,POINT (-70 -79.5)
-79.5,-50.0,POINT (-50 -79.5)
-79.5,-49.5,POINT (-49.5 -79.5)
-79.5,-49.0,POINT (-49 -79.5)
-79.5,-48.5,POINT (-48.5 -79.5)
-79.5,-48.0,POINT (-48 -79.5)
-79.5,-47.5,POINT (-47.5 -79.5)
-79.5,-47.0,POINT (-47 -79.5)
-79.5,-46.5,POINT (-46.5 -79.5)
-79.5,-46.0,POINT (-46 -79.5)
-79.5,-45.5,POINT (-45.5 -79.5)
-79.5,-45.0,POINT (-45 -79.5)
-79.5,-44.5,POINT (-44.5 -79.5)
-79.5,-44.0,POINT (-44 -79.5)
-79.5,-43.5,POINT (-43.5 -79.5)
-79.5,-43.0,POINT (-43 -79.5)
-79.0,-71.0,POINT (-71 -79)
-79.0,-70.5,POINT (-70.5 -79)
-79.0,-70.0,POINT (-70 -79)
-79.0,-69.5,POINT (-69.5 -79)
-79.0,-69.0,POINT (-69 -79)
-79.0,-50.0,POINT (-50 -79)
-79.0,-49.5,POINT (-49.5 -79)
-79.0,-49.0,POINT (-49 -79)
-79.0,-48.5,POINT (-48.5 -79)
-79.0,-48.0,POINT (-48 -79)
-79.0,-47.5,POINT (-47.5 -79)
-79.0,-47.0,POINT (-47 -79)
-79.0,-46.5,POINT (-46.5 -79)
-79.0,-46.0,POINT (-46 -79)
-79.0,-45.5,POINT (-45.5 -79)
-79.0,-45.0,POINT (-45 -79)
-79.0,-44.5,POINT (-44.5 -79)
-79.0,-44.0,POINT (-44 -79)
-79.0,-43.5,POINT (-43.5 -79)
-78.5,-68.0,POINT (-68 -78.5)
-78.5,-67.5,POINT (-67.5 -78.5)
-78.5,-49.5,POINT (-49.5 -78.5)
-78.5,-49.0,POINT (-49 -78.5)
-78.5,-48.5,POINT (-48.5 -78.5)
-78.5,-48.0,POINT (-48 -78.5)
-78.5,-47.5,POINT (-47.5 -78.5)
-78.5,-47.0,POINT (-47 -78.5)
-78.5,-46.5,POINT (-46.5 -78.5)
-78.5,-46.0,POINT (-46 -78.5)
-78.5,-45.5,POINT (-45.5 -78.5)
-78.5,-45.0,POINT (-45 -78.5)
-78.5,-44.5,POINT (-44.5 -78.5)
-78.5,-44.0,POINT (-44 -78.5)
-78.5,-36.0,POINT (-36 -78.5)
-78.5,-35.5,POINT (-35.5 -78.5)
-78.0,-73.5,POINT (-73.5 -78)
-78.0,-48.5,POINT (-48.5 -78)
-78.0,-48.0,POINT (-48 -78)
-78.0,-47.5,POINT (-47.5 -78)
-78.0,-47.0,POINT (-47 -78)
-78.0,-46.5,POINT (-46.5 -78)
-78.0,-46.0,POINT (-46 -78)
-78.0,-45.5,POINT (-45.5 -78)
-78.0,-45.0,POINT (-45 -78)
-78.0,-35.5,POINT (-35.5 -78)
-76.5,-73.5,POINT (-73.5 -76.5)
-76.5,-73.0,POINT (-73 -76.5)
-76.5,-72.5,POINT (-72.5 -76.5)
-76.5,-72.0,POINT (-72 -76.5)
-76.5,-71.5,POINT (-71.5 -76.5)
-76.5,-71.0,POINT (-71 -76.5)
-76.5,-70.5,POINT (-70.5 -76.5)
-76.0,-73.5,POINT (-73.5 -76)
-76.0,-73.0,POINT (-73 -76)
-76.0,-72.5,POINT (-72.5 -76)
-76.0,-72.0,POINT (-72 -76)
-76.0,-71.5,POINT (-71.5 -76)
-76.0,-71.0,POINT (-71 -76)
-76.0,-70.5,POINT (-70.5 -76)
-76.0,-70.0,POINT (-70 -76)
-76.0,-69.5,POINT (-69.5 -76)
-76.0,-69.0,POINT (-69 -76)
-76.0,-68.5,POINT (-68.5 -76)
-76.0,-68.0,POINT (-68 -76)
-76.0,-67.5,POINT (-67.5 -76)
-76.0,-67.0,POINT (-67 -76)
-76.0,-66.5,POINT (-66.5 -76)
-75.5,-73.5,POINT (-73.5 -75.5)
-75.5,-73.0,POINT (-73 -75.5)
-75.5,-72.5,POINT (-72.5 -75.5)
-75.5,-72.0,POINT (-72 -75.5)
-75.5,-71.5,POINT (-71.5 -75.5)
-75.5,-71.0,POINT (-71 -75.5)
-75.5,-70.5,POINT (-70.5 -75.5)
-75.5,-70.0,POINT (-70 -75.5)
-75.5,-69.5,POINT (-69.5 -75.5)
-75.5,-69.0,POINT (-69 -75.5)
-75.5,-68.5,POINT (-68.5 -75.5)
-75.5,-68.0,POINT (-68 -75.5)
-75.5,-67.5,POINT (-67.5 -75.5)
-75.5,-67.0,POINT (-67 -75.5)
-75.5,-66.5,POINT (-66.5 -75.5)
-75.5,-66.0,POINT (-66 -75.5)
-75.5,-65.5,POINT (-65.5 -75.5)
-75.5,-65.0,POINT (-65 -75.5)
-75.5,-64.5,POINT (-64.5 -75.5)
-75.5,-64.0,POINT (-64 -75.5)
-75.5,-63.5,POINT (-63.5 -75.5)
-75.0,-73.5,POINT (-73.5 -75)
-75.0,-73.0,POINT (-73 -75)
-75.0,-72.5,POINT (-72.5 -75)
-75.0,-72.0,POINT (-72 -75)
-75.0,-71.5,POINT (-71.5 -75)
-75.0,-71.0,POINT (-71 -75)
-75.0,-70.5,POINT (-70.5 -75)
-75.0,-70.0,POINT (-70 -75)
-75.0,-69.5,POINT (-69.5 -75)
-75.0,-69.0,POINT (-69 -75)
-75.0,-68.5,POINT (-68.5 -75)
-75.0,-68.0,POINT (-68 -75)
-75.0,-67.5,POINT (-67.5 -75)
-75.0,-67.0,POINT (-67 -75)
-75.0,-66.5,POINT (-66.5 -75)
-75.0,-66.0,POINT (-66 -75)
-75.0,-65.5,POINT (-65.5 -75)
-75.0,-65.0,POINT (-65 -75)
-75.0,-64.5,POINT (-64.5 -75)
-74.5,-73.5,POINT (-73.5 -74.5)
-74.5,-73.0,POINT (-73 -74.5)
-74.5,-72.5,POINT (-72.5 -74.5)
-74.5,-72.0,POINT (-72 -74.5)
-74.5,-71.5,POINT (-71.5 -74.5)
-74.5,-71.0,POINT (-71 -74.5)
-74.5,-70.5,POINT (-70.5 -74.5)
-74.5,-70.0,POINT (-70 -74.5)
-74.5,-69.5,POINT (-69.5 -74.5)
-74.5,-69.0,POINT (-69 -74.5)
-74.5,-68.5,POINT (-68.5 -74.5)
-74.5,-68.0,POINT (-68 -74.5)
-74.5,-67.5,POINT (-67.5 -74.5)
-74.5,-67.0,POINT (-67 -74.5)
-74.5,-66.5,POINT (-66.5 -74.5)
-74.5,-66.0,POINT (-66 -74.5)
-74.5,-65.5,POINT (-65.5 -74.5)
-74.5,-65.0,POINT (-65 -74.5)
-74.5,-64.5,POINT (-64.5 -74.5)
-74.5,-64.0,POINT (-64 -74.5)
-74.5,-63.5,POINT (-63.5 -74.5)
-74.5,-63.0,POINT (-63 -74.5)
-74.5,-62.5,POINT (-62.5 -74.5)
-74.5,-61.5,POINT (-61.5 -74.5)
-74.0,-73.5,POINT (-73.5 -74)
-74.0,-73.0,POINT (-73 -74)
-74.0,-72.5,POINT (-72.5 -74)
-74.0,-72.0,POINT (-72 -74)
-74.0,-71.5,POINT (-71.5 -74)
-74.0,-71.0,POINT (-71 -74)
-74.0,-70.5,POINT (-70.5 -74)
-74.0,-70.0,POINT (-70 -74)
-74.0,-69.5,POINT (-69.5 -74)
-74.0,-69.0,POINT (-69 -74)
-74.0,-68.5,POINT (-68.5 -74)
-74.0,-68.0,POINT (-68 -74)
-74.0,-67.5,POINT (-67.5 -74)
-74.0,-67.0,POINT (-67 -74)
-74.0,-66.5,POINT (-66.5 -74)
-74.0,-66.0,POINT (-66 -74)
-74.0,-65.5,POINT (-65.5 -74)
-74.0,-65.0,POINT (-65 -74)
-74.0,-64.5,POINT (-64.5 -74)
-74.0,-64.0,POINT (-64 -74)
-74.0,-63.5,POINT (-63.5 -74)
-74.0,-63.0,POINT (-63 -74)
-74.0,-62.5,POINT (-62.5 -74)
-74.0,-62.0,POINT (-62 -74)
-73.5,-73.0,POINT (-73 -73.5)
-73.5,-72.5,POINT (-72.5 -73.5)
-73.5,-72.0,POINT (-72 -73.5)
-73.5,-71.5,POINT (-71.5 -73.5)
-73.5,-71.0,POINT (-71 -73.5)
-73.5,-70.5,POINT (-70.5 -73.5)
-73.5,-70.0,POINT (-70 -73.5)
-73.5,-69.5,POINT (-69.5 -73.5)
-73.5,-69.0,POINT (-69 -73.5)
-73.5,-68.5,POINT (-68.5 -73.5)
-73.5,-68.0,POINT (-68 -73.5)
-73.5,-67.5,POINT (-67.5 -73.5)
-73.5,-67.0,POINT (-67 -73.5)
-73.5,-66.5,POINT (-66.5 -73.5)
-73.5,-66.0,POINT (-66 -73.5)
-73.5,-65.5,POINT (-65.5 -73.5)
-73.5,-65.0,POINT (-65 -73.5)
-73.5,-64.5,POINT (-64.5 -73.5)
-73.5,-64.0,POINT (-64 -73.5)
-73.5,-63.5,POINT (-63.5 -73.5)
-73.5,-63.0,POINT (-63 -73.5)
-73.5,-62.5,POINT (-62.5 -73.5)
-73.5,-62.0,POINT (-62 -73.5)
-73.5,-61.5,POINT (-61.5 -73.5)
-73.0,-68.0,POINT (-68 -73)
-73.0,-67.5,POINT (-67.5 -73)
-73.0,-67.0,POINT (-67 -73)
-73.0,-66.5,POINT (-66.5 -73)
-73.0,-66.0,POINT (-66 -73)
-73.0,-65.5,POINT (-65.5 -73)
-73.0,-65.0,POINT (-65 -73)
-73.0,-64.5,POINT (-64.5 -73)
-73.0,-64.0,POINT (-64 -73)
-73.0,-63.5,POINT (-63.5 -73)
-73.0,-63.0,POINT (-63 -73)
-73.0,-62.5,POINT (-62.5 -73)
-73.0,-62.0,POINT (-62 -73)
-73.0,-61.5,POINT (-61.5 -73)
-73.0,-61.0,POINT (-61 -73)
-73.0,-60.5,POINT (-60.5 -73)
-73.0,-60.0,POINT (-60 -73)
-72.5,-73.0,POINT (-73 -72.5)
-72.5,-72.5,POINT (-72.5 -72.5)
-72.5,-72.0,POINT (-72 -72.5)
-72.5,-71.5,POINT (-71.5 -72.5)
-72.5,-71.0,POINT (-71 -72.5)
-72.5,-70.5,POINT (-70.5 -72.5)
-72.5,-70.0,POINT (-70 -72.5)
-72.5,-69.5,POINT (-69.5 -72.5)
-72.5,-67.0,POINT (-67 -72.5)
-72.5,-66.5,POINT (-66.5 -72.5)
-72.5,-66.0,POINT (-66 -72.5)
-72.5,-65.5,POINT (-65.5 -72.5)
-72.5,-65.0,POINT (-65 -72.5)
-72.5,-64.5,POINT (-64.5 -72.5)
-72.5,-64.0,POINT (-64 -72.5)
-72.5,-63.5,POINT (-63.5 -72.5)
-72.5,-63.0,POINT (-63 -72.5)
-72.5,-62.5,POINT (-62.5 -72.5)
-72.5,-62.0,POINT (-62 -72.5)
-72.5,-61.5,POINT (-61.5 -72.5)
-72.0,-70.5,POINT (-70.5 -72)
-72.0,-70.0,POINT (-70 -72)
-72.0,-69.5,POINT (-69.5 -72)
-72.0,-69.0,POINT (-69 -72)
-72.0,-68.5,POINT (-68.5 -72)
-72.0,-66.5,POINT (-66.5 -72)
-72.0,-66.0,POINT (-66 -72)
-72.0,-65.5,POINT (-65.5 -72)
-72.0,-65.0,POINT (-65 -72)
-72.0,-64.5,POINT (-64.5 -72)
-72.0,-64.0,POINT (-64 -72)
-72.0,-63.5,POINT (-63.5 -72)
-72.0,-63.0,POINT (-63 -72)
-72.0,-62.5,POINT (-62.5 -72)
-71.5,-73.0,POINT (-73 -71.5)
-71.5,-72.5,POINT (-72.5 -71.5)
-71.5,-72.0,POINT (-72 -71.5)
-71.5,-71.5,POINT (-71.5 -71.5)
-71.5,-71.0,POINT (-71 -71.5)
-71.5,-70.5,POINT (-70.5 -71.5)
-71.5,-70.0,POINT (-70 -71.5)
-71.5,-69.5,POINT (-69.5 -71.5)
-71.5,-69.0,POINT (-69 -71.5)
-71.5,-68.5,POINT (-68.5 -71.5)
-71.5,-67.5,POINT (-67.5 -71.5)
-71.5,-67.0,POINT (-67 -71.5)
-71.5,-66.5,POINT (-66.5 -71.5)
-71.5,-66.0,POINT (-66 -71.5)
-71.5,-65.5,POINT (-65.5 -71.5)
-71.5,-65.0,POINT (-65 -71.5)
-71.5,-64.5,POINT (-64.5 -71.5)
-71.5,-64.0,POINT (-64 -71.5)
-71.5,-63.5,POINT (-63.5 -71.5)
-71.5,-63.0,POINT (-63 -71.5)
-71.5,-62.5,POINT (-62.5 -71.5)
-71.5,-62.0,POINT (-62 -71.5)
-71.0,-71.0,POINT (-71 -71)
-71.0,-70.5,POINT (-70.5 -71)
-71.0,-70.0,POINT (-70 -71)
-71.0,-69.5,POINT (-69.5 -71)
-71.0,-69.0,POINT (-69 -71)
-71.0,-68.5,POINT (-68.5 -71)
-71.0,-67.0,POINT (-67 -71)
-71.0,-66.5,POINT (-66.5 -71)
-71.0,-66.0,POINT (-66 -71)
-71.0,-65.5,POINT (-65.5 -71)
-71.0,-65.0,POINT (-65 -71)
-71.0,-64.5,POINT (-64.5 -71)
-71.0,-64.0,POINT (-64 -71)
-71.0,-63.5,POINT (-63.5 -71)
-71.0,-63.0,POINT (-63 -71)
-71.0,-62.5,POINT (-62.5 -71)
-71.0,-62.0,POINT (-62 -71)
-71.0,-61.5,POINT (-61.5 -71)
-70.5,-71.0,POINT (-71 -70.5)
-70.5,-70.5,POINT (-70.5 -70.5)
-70.5,-70.0,POINT (-70 -70.5)
-70.5,-69.5,POINT (-69.5 -70.5)
-70.5,-69.0,POINT (-69 -70.5)
-70.5,-67.5,POINT (-67.5 -70.5)
-70.5,-67.0,POINT (-67 -70.5)
-70.5,-66.5,POINT (-66.5 -70.5)
-70.5,-66.0,POINT (-66 -70.5)
-70.5,-65.5,POINT (-65.5 -70.5)
-70.5,-65.0,POINT (-65 -70.5)
-70.5,-64.5,POINT (-64.5 -70.5)
-70.5,-64.0,POINT (-64 -70.5)
-70.5,-63.5,POINT (-63.5 -70.5)
-70.5,-63.0,POINT (-63 -70.5)
-70.5,-62.5,POINT (-62.5 -70.5)
-70.5,-61.5,POINT (-61.5 -70.5)
-70.0,-71.5,POINT (-71.5 -70)
-70.0,-71.0,POINT (-71 -70)
-70.0,-70.5,POINT (-70.5 -70)
-70.0,-70.0,POINT (-70 -70)
-70.0,-69.5,POINT (-69.5 -70)
-70.0,-68.0,POINT (-68 -70)
-70.0,-67.5,POINT (-67.5 -70)
-70.0,-67.0,POINT (-67 -70)
-70.0,-66.5,POINT (-66.5 -70)
-70.0,-66.0,POINT (-66 -70)
-70.0,-65.5,POINT (-65.5 -70)
-70.0,-65.0,POINT (-65 -70)
-70.0,-64.5,POINT (-64.5 -70)
-70.0,-64.0,POINT (-64 -70)
-70.0,-63.5,POINT (-63.5 -70)
-70.0,-63.0,POINT (-63 -70)
-70.0,-62.5,POINT (-62.5 -70)
-69.5,-72.5,POINT (-72.5 -69.5)
-69.5,-71.5,POINT (-71.5 -69.5)
-69.5,-71.0,POINT (-71 -69.5)
-69.5,-70.5,POINT (-70.5 -69.5)
-69.5,-70.0,POINT (-70 -69.5)
-69.5,-68.5,POINT (-68.5 -69.5)
-69.5,-68.0,POINT (-68 -69.5)
-69.5,-67.5,POINT (-67.5 -69.5)
-69.5,-67.0,POINT (-67 -69.5)
-69.5,-66.5,POINT (-66.5 -69.5)
-69.5,-66.0,POINT (-66 -69.5)
-69.5,-65.5,POINT (-65.5 -69.5)
-69.5,-65.0,POINT (-65 -69.5)
-69.5,-64.5,POINT (-64.5 -69.5)
-69.5,-64.0,POINT (-64 -69.5)
-69.5,-63.5,POINT (-63.5 -69.5)
-69.5,-63.0,POINT (-63 -69.5)
-69.5,-62.5,POINT (-62.5 -69.5)
-69.5,-62.0,POINT (-62 -69.5)
-69.0,-72.0,POINT (-72 -69)
-69.0,-71.5,POINT (-71.5 -69)
-69.0,-71.0,POINT (-71 -69)
-69.0,-70.5,POINT (-70.5 -69)
-69.0,-66.5,POINT (-66.5 -69)
-69.0,-66.0,POINT (-66 -69)
-69.0,-65.5,POINT (-65.5 -69)
-69.0,-65.0,POINT (-65 -69)
-69.0,-64.5,POINT (-64.5 -69)
-69.0,-64.0,POINT (-64 -69)
-68.5,-66.5,POINT (-66.5 -68.5)
-68.5,-66.0,POINT (-66 -68.5)
-68.5,-65.5,POINT (-65.5 -68.5)
-68.5,-63.5,POINT (-63.5 -68.5)
-68.0,-66.5,POINT (-66.5 -68)
-68.0,-66.0,POINT (-66 -68)
-68.0,-65.5,POINT (-65.5 -68)
-67.5,-69.0,POINT (-69 -67.5)
-67.5,-68.5,POINT (-68.5 -67.5)
-67.5,-67.5,POINT (-67.5 -67.5)
-67.5,-66.0,POINT (-66 -67.5)
-67.0,-68.5,POINT (-68.5 -67)
-67.0,-68.0,POINT (-68 -67)
-67.0,-67.0,POINT (-67 -67)
-67.0,-66.5,POINT (-66.5 -67)
-67.0,-66.0,POINT (-66 -67)
-67.0,-65.5,POINT (-65.5 -67)
-67.0,-65.0,POINT (-65 -67)
-66.5,-65.5,POINT (-65.5 -66.5)
-66.5,-65.0,POINT (-65 -66.5)
-66.5,-64.5,POINT (-64.5 -66.5)
-66.5,-64.0,POINT (-64 -66.5)
-66.0,-65.0,POINT (-65 -66)
-66.0,-64.0,POINT (-64 -66)
-66.0,-63.5,POINT (-63.5 -66)
-66.0,-63.0,POINT (-63 -66)
-66.0,-62.5,POINT (-62.5 -66)
-66.0,-61.0,POINT (-61 -66)
-65.5,-63.5,POINT (-63.5 -65.5)
-65.5,-63.0,POINT (-63 -65.5)
-65.5,-62.5,POINT (-62.5 -65.5)
-65.5,-62.0,POINT (-62 -65.5)
-65.0,-63.0,POINT (-63 -65)
-65.0,-62.5,POINT (-62.5 -65)
-65.0,-62.0,POINT (-62 -65)
-64.5,-63.5,POINT (-63.5 -64.5)
-64.5,-63.0,POINT (-63 -64.5)
-64.5,-61.0,POINT (-61 -64.5)
-64.5,-60.5,POINT (-60.5 -64.5)
-64.5,-59.0,POINT (-59 -64.5)
-64.0,-60.5,POINT (-60.5 -64)
-64.0,-60.0,POINT (-60 -64)
-64.0,-59.5,POINT (-59.5 -64)
-64.0,-59.0,POINT (-59 -64)
-64.0,-58.0,POINT (-58 -64)
-64.0,-57.5,POINT (-57.5 -64)
-63.5,-58.5,POINT (-58.5 -63.5)
-63.5,-58.0,POINT (-58 -63.5)
-63.5,-57.5,POINT (-57.5 -63.5)
-63.5,-56.0,POINT (-56 -63.5)
-63.0,-62.5,POINT (-62.5 -63)
-63.0,-56.5,POINT (-56.5 -63)
-62.0,-58.0,POINT (-58 -62)
-55.0,-66.5,POINT (-66.5 -55)
-54.5,-67.5,POINT (-67.5 -54.5)
-54.5,-67.0,POINT (-67 -54.5)
-54.5,-66.5,POINT (-66.5 -54.5)
-54.5,-36.5,POINT (-36.5 -54.5)
-54.0,-68.5,POINT (-68.5 -54)
-53.5,-68.5,POINT (-68.5 -53.5)
-53.0,-68.5,POINT (-68.5 -53)
-52.0,-70.5,POINT (-70.5 -52)
-52.0,-70.0,POINT (-70 -52)
